City_ID,City,Lat,Lng,Weather Description,Max Temp,Humidity,Cloudiness,Wind Speed,Country
42,Kitob,39.0843,66.8332,clear sky,50.0,66,1,11.5,UZ
43,Nishihara,26.1842,127.7558,light rain,71.6,94,90,24.16,JP
44,Geraldton,-28.7667,114.6,overcast clouds,62.6,77,100,6.91,AU
45,Litovko,49.2361,135.1742,overcast clouds,58.69,48,98,7.94,RU
46,Barrow,71.2906,-156.7887,clear sky,19.4,79,1,8.05,US
47,Mitsamiouli,-11.3847,43.2844,light rain,80.85,76,100,15.05,KM
48,Bethel,41.3712,-73.414,overcast clouds,43.0,43,86,4.0,US
49,Cape Town,-33.9258,18.4232,fog,57.0,100,90,12.66,ZA
50,East Wenatchee Bench,47.4257,-120.2812,scattered clouds,69.8,21,40,5.75,US
51,Catamarca,-28.4696,-65.7852,broken clouds,63.0,72,60,1.01,AR
52,Tucumcari,35.1717,-103.725,clear sky,71.6,18,1,19.57,US
53,Egvekinot,66.3167,-179.1667,clear sky,28.94,71,6,3.02,RU
54,Hambantota,6.1241,81.1185,few clouds,79.23,83,20,11.39,LK
55,Lensk,60.7253,114.9278,overcast clouds,28.08,91,100,15.08,RU
56,Aanekoski,62.6946,25.818,fog,39.99,100,100,1.14,FI
57,Rock Springs,41.5875,-109.2029,few clouds,57.0,16,20,13.8,US
58,Hinatuan,8.3722,126.3342,broken clouds,77.22,90,79,4.34,PH
59,Lhokseumawe,5.1801,97.1507,light rain,78.55,85,100,4.0,ID
60,Sur,22.5667,59.5289,clear sky,85.59,30,6,14.5,OM
